customer_id,first_name,last_name,email,gender,date_of_birth,registration_date,last_purchase_date
59,FirstName59,LastName59,customer59@example.com,Female,1972-03-17,2024-04-07,2024-10-18
60,FirstName60,LastName60,customer60@example.com,Female,1994-06-14,2024-02-23,2024-11-06
61,FirstName61,LastName61,customer61@example.com,Male,1960-09-29,2024-06-05,2024-11-05
62,FirstName62,LastName62,customer62@example.com,Female,1970-12-30,2024-02-23,2024-10-20
63,FirstName63,LastName63,customer63@example.com,Male,1994-05-11,2024-10-09,2024-10-24
64,FirstName64,LastName64,customer64@example.com,Male,2005-10-29,2023-11-13,2024-10-29
65,FirstName65,LastName65,customer65@example.com,Female,1972-04-18,2024-01-01,2024-10-16
66,FirstName66,LastName66,customer66@example.com,Male,1961-08-29,2024-06-21,2024-10-09
67,FirstName67,LastName67,customer67@example.com,Male,1975-07-24,2023-12-26,2024-10-25
68,FirstName68,LastName68,customer68@example.com,Male,2006-01-14,2024-06-27,2024-10-22
69,FirstName69,LastName69,customer69@example.com,Male,1962-12-19,2024-07-07,2024-10-13
70,FirstName70,LastName70,customer70@example.com,Male,2005-08-31,2024-09-27,2024-10-14
71,FirstName71,LastName71,customer71@example.com,Female,2004-03-22,2023-12-13,2024-10-29
72,FirstName72,LastName72,customer72@example.com,Male,1963-03-31,2024-04-26,2024-10-31
73,FirstName73,LastName73,customer73@example.com,Female,2003-06-13,2024-08-20,2024-10-21
74,FirstName74,LastName74,customer74@example.com,Female,1959-12-08,2024-02-03,2024-10-26
75,FirstName75,LastName75,customer75@example.com,Female,1961-12-11,2024-07-03,2024-10-13
76,FirstName76,LastName76,customer76@example.com,Female,1988-02-29,2024-01-01,2024-11-04
77,FirstName77,LastName77,customer77@example.com,Female,1975-01-20,2024-02-06,2024-10-17
78,FirstName78,LastName78,customer78@example.com,Female,1977-02-16,2024-09-26,2024-11-03
79,FirstName79,LastName79,customer79@example.com,Female,1973-05-11,2024-06-11,2024-10-25
80,FirstName80,LastName80,customer80@example.com,Male,2003-03-29,2024-08-28,2024-10-31
81,FirstName81,LastName81,customer81@example.com,Male,1964-05-27,2024-07-16,2024-10-13
82,FirstName82,LastName82,customer82@example.com,Male,1995-03-31,2024-10-09,2024-10-28
83,FirstName83,LastName83,customer83@example.com,Female,2000-09-11,2024-07-20,2024-10-27
84,FirstName84,LastName84,customer84@example.com,Male,1966-09-13,2024-03-19,2024-11-01
85,FirstName85,LastName85,customer85@example.com,Male,1995-08-15,2023-11-28,2024-10-24
86,FirstName86,LastName86,customer86@example.com,Male,1985-02-21,2023-11-12,2024-10-21
87,FirstName87,LastName87,customer87@example.com,Female,1968-08-29,2024-08-09,2024-11-06
88,FirstName88,LastName88,customer88@example.com,Male,2003-11-11,2023-12-29,2024-10-30
89,FirstName89,LastName89,customer89@example.com,Female,1993-06-29,2024-02-19,2024-11-03
90,FirstName90,LastName90,customer90@example.com,Male,1969-03-31,2024-04-04,2024-10-24
91,FirstName91,LastName91,customer91@example.com,Female,1967-12-17,2023-12-04,2024-10-30
92,FirstName92,LastName92,customer92@example.com,Male,1987-03-28,2024-01-24,2024-10-16
93,FirstName93,LastName93,customer93@example.com,Male,2000-05-06,2024-09-03,2024-11-07
94,FirstName94,LastName94,customer94@example.com,Female,1974-01-31,2024-02-15,2024-10-17
95,FirstName95,LastName95,customer95@example.com,Female,1982-10-02,2024-09-08,2024-10-24
96,FirstName96,LastName96,customer96@example.com,Male,1978-05-23,2024-06-27,2024-10-21
97,FirstName97,LastName97,customer97@example.com,Female,1971-06-01,2024-09-02,2024-10-09
98,FirstName98,LastName98,customer98@example.com,Male,1960-08-12,2023-12-23,2024-10-30
99,FirstName99,LastName99,customer99@example.com,Male,1970-09-04,2024-09-25,2024-10-14
100,FirstName100,LastName100,customer100@example.com,Female,1980-11-06,2024-09-29,2024-11-04
